Dataset,MSE,MAE,RMSE
Train,19.46116360289141,2.9923834276380505,4.411480885472747
Validation,19.409811211782117,2.9961376024257302,4.405656728772922
Test,19.722239090830225,3.0190205604233538,4.440972764027069
