number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
26,0.31584952193505234,2025-06-21 20:43:28.573532,2025-06-21 20:44:14.402250,0 days 00:00:45.828718,0.9464422511699004,0.02763812184742507,11,50,929,203,0.6010531847575931,0.7188115801368101,0.9965752760798847,COMPLETE
27,0.2535407297638268,2025-06-21 20:44:14.403249,2025-06-21 20:44:40.528232,0 days 00:00:26.124983,0.7994500873221995,0.09557895477905687,13,32,843,137,0.878199937092717,0.7610273532340985,0.8394573429062424,COMPLETE
28,0.2893779532379728,2025-06-21 20:44:40.528232,2025-06-21 20:44:51.912479,0 days 00:00:11.384247,0.7302910259608097,0.15541929720998987,8,40,384,172,0.923363834630654,0.936096601748591,0.9517777081172435,COMPLETE
29,0.2966828986300931,2025-06-21 20:44:51.913595,2025-06-21 20:45:12.702089,0 days 00:00:20.788494,0.8730509139849594,0.09091617927496481,7,23,831,210,0.7478090010837736,0.6653835556137405,0.9124379718209594,COMPLETE
30,0.419978875326241,2025-06-21 20:45:12.703090,2025-06-21 20:45:21.376711,0 days 00:00:08.673621,0.9434863265901209,0.12071579402151437,10,19,603,23,0.39108156263827104,0.8525079011924155,0.7521402180972669,COMPLETE
31,0.22527997010569412,2025-06-21 20:45:21.377711,2025-06-21 20:45:48.775099,0 days 00:00:27.397388,0.6863370632124046,0.18128337636824832,8,43,995,237,0.7259808872818393,0.8003959488186728,0.731018493621456,COMPLETE
32,0.222646739506129,2025-06-21 20:45:48.776090,2025-06-21 20:46:21.714191,0 days 00:00:32.938101,0.8068872937333603,0.19949315216260344,9,44,935,179,0.8657645591864218,0.8426307896260011,0.8466280528532918,COMPLETE
33,0.3022268459120171,2025-06-21 20:46:21.714191,2025-06-21 20:46:35.182301,0 days 00:00:13.468110,0.7445892032601868,0.15580212473401142,6,25,859,146,0.6997230849660783,0.7472020223161255,0.8834600191487788,COMPLETE
34,0.2637066588854067,2025-06-21 20:46:35.183301,2025-06-21 20:47:04.472244,0 days 00:00:29.288943,0.8676790125883032,0.07925723868756174,8,40,956,163,0.011801363239340223,0.9596174118137076,0.9642664693050478,COMPLETE
35,0.2572630831871128,2025-06-21 20:47:04.473252,2025-06-21 20:47:39.902002,0 days 00:00:35.428750,0.6640985760510896,0.054296484098558695,12,34,783,255,0.8338622815916374,0.895041601535027,0.7631677252124804,COMPLETE
36,0.21753629279829145,2025-06-21 20:47:39.903002,2025-06-21 20:48:33.768391,0 days 00:00:53.865389,0.9145420179491545,0.11823679535378104,10,10,937,217,0.9585738587535944,0.6903287791797182,0.8986435697735431,COMPLETE
37,0.22412571828404781,2025-06-21 20:48:33.769393,2025-06-21 20:49:23.919912,0 days 00:00:50.150519,0.9679140193752691,0.13223420988587817,11,10,808,196,0.9545809194119742,0.5719622225449489,0.8941347436324044,COMPLETE
38,0.28949958511817264,2025-06-21 20:49:23.920911,2025-06-21 20:50:23.805655,0 days 00:00:59.884744,0.9287290753420872,0.03552457296745793,13,16,865,216,0.9046875175286643,0.6839863374895059,0.8500921117351002,COMPLETE
39,0.34939046642877836,2025-06-21 20:50:23.811359,2025-06-21 20:50:42.089515,0 days 00:00:18.278156,0.8922626670239515,0.07947154881559332,10,7,247,187,0.9791038032884951,0.6399861926013213,0.8983642845034745,COMPLETE
40,0.21722873544986387,2025-06-21 20:50:42.090607,2025-06-21 20:51:17.465880,0 days 00:00:35.375273,0.6134143484843431,0.16307966947938246,15,10,930,207,0.6038786369185496,0.05584250215023134,0.8672266579810609,COMPLETE
